2022-03-14 20:33:40,034 INFO [root] [base.py (base_click:base_click:29)]-click element('css selector', '#simpleEqual')
2022-03-14 20:33:40,034 INFO [root] [base.py (base_find:base_find:22)]-find element('css selector', '#simpleEqual')
2022-03-14 20:33:40,073 INFO [root] [base.py (base_get_value:base_get_value:35)]-get inputElement('css selector', '#resultIpt') value
2022-03-14 20:33:40,074 INFO [root] [base.py (base_find:base_find:22)]-find element('css selector', '#resultIpt')
2022-03-14 20:33:40,089 INFO [root] [base.py (base_click:base_click:29)]-click element('css selector', '#simpleClearAllBtn')
2022-03-14 20:33:40,089 INFO [root] [base.py (base_find:base_find:22)]-find element('css selector', '#simpleClearAllBtn')
2022-03-14 20:33:40,116 INFO [root] [base.py (base_click:base_click:29)]-click element('css selector', '#simple1')
2022-03-14 20:33:40,116 INFO [root] [base.py (base_find:base_find:22)]-find element('css selector', '#simple1')
2022-03-14 20:33:40,140 INFO [root] [base.py (base_click:base_click:29)]-click element('css selector', '#simple0')
2022-03-14 20:33:40,140 INFO [root] [base.py (base_find:base_find:22)]-find element('css selector', '#simple0')
2022-03-14 20:33:40,183 INFO [root] [base.py (base_click:base_click:29)]-click element('css selector', '#simpleAdd')
2022-03-14 20:33:40,183 INFO [root] [base.py (base_find:base_find:22)]-find element('css selector', '#simpleAdd')
2022-03-14 20:33:40,203 INFO [root] [base.py (base_click:base_click:29)]-click element('css selector', '#simple0')
2022-03-14 20:33:40,203 INFO [root] [base.py (base_find:base_find:22)]-find element('css selector', '#simple0')
2022-03-14 20:33:40,230 INFO [root] [base.py (base_click:base_click:29)]-click element('css selector', '#simpleEqual')
2022-03-14 20:33:40,230 INFO [root] [base.py (base_find:base_find:22)]-find element('css selector', '#simpleEqual')
2022-03-14 20:33:40,254 INFO [root] [base.py (base_get_value:base_get_value:35)]-get inputElement('css selector', '#resultIpt') value
2022-03-14 20:33:40,254 INFO [root] [base.py (base_find:base_find:22)]-find element('css selector', '#resultIpt')
2022-03-14 20:33:40,264 INFO [root] [base.py (base_click:base_click:29)]-click element('css selector', '#simpleClearAllBtn')
2022-03-14 20:33:40,264 INFO [root] [base.py (base_find:base_find:22)]-find element('css selector', '#simpleClearAllBtn')
2022-03-14 20:33:40,286 INFO [root] [base.py (base_click:base_click:29)]-click element('css selector', '#simple1')
2022-03-14 20:33:40,287 INFO [root] [base.py (base_find:base_find:22)]-find element('css selector', '#simple1')
2022-03-14 20:33:40,307 INFO [root] [base.py (base_click:base_click:29)]-click element('css selector', '#simple1')
2022-03-14 20:33:40,307 INFO [root] [base.py (base_find:base_find:22)]-find element('css selector', '#simple1')
2022-03-14 20:33:40,331 INFO [root] [base.py (base_click:base_click:29)]-click element('css selector', '#simple1')
2022-03-14 20:33:40,331 INFO [root] [base.py (base_find:base_find:22)]-find element('css selector', '#simple1')
2022-03-14 20:33:40,353 INFO [root] [base.py (base_click:base_click:29)]-click element('css selector', '#simple2')
2022-03-14 20:33:40,353 INFO [root] [base.py (base_find:base_find:22)]-find element('css selector', '#simple2')
2022-03-14 20:33:40,389 INFO [root] [base.py (base_click:base_click:29)]-click element('css selector', '#simple3')
2022-03-14 20:33:40,389 INFO [root] [base.py (base_find:base_find:22)]-find element('css selector', '#simple3')
2022-03-14 20:33:40,429 INFO [root] [base.py (base_click:base_click:29)]-click element('css selector', '#simple1')
2022-03-14 20:33:40,429 INFO [root] [base.py (base_find:base_find:22)]-find element('css selector', '#simple1')
2022-03-14 20:33:40,454 INFO [root] [base.py (base_click:base_click:29)]-click element('css selector', '#simple2')
2022-03-14 20:33:40,454 INFO [root] [base.py (base_find:base_find:22)]-find element('css selector', '#simple2')
2022-03-14 20:33:40,477 INFO [root] [base.py (base_click:base_click:29)]-click element('css selector', '#simple3')
2022-03-14 20:33:40,477 INFO [root] [base.py (base_find:base_find:22)]-find element('css selector', '#simple3')
2022-03-14 20:33:40,502 INFO [root] [base.py (base_click:base_click:29)]-click element('css selector', '#simpleAdd')
2022-03-14 20:33:40,502 INFO [root] [base.py (base_find:base_find:22)]-find element('css selector', '#simpleAdd')
2022-03-14 20:33:40,526 INFO [root] [base.py (base_click:base_click:29)]-click element('css selector', '#simple1')
2022-03-14 20:33:40,526 INFO [root] [base.py (base_find:base_find:22)]-find element('css selector', '#simple1')
2022-03-14 20:33:40,553 INFO [root] [base.py (base_click:base_click:29)]-click element('css selector', '#simpleEqual')
2022-03-14 20:33:40,553 INFO [root] [base.py (base_find:base_find:22)]-find element('css selector', '#simpleEqual')
2022-03-14 20:33:40,574 INFO [root] [base.py (base_get_value:base_get_value:35)]-get inputElement('css selector', '#resultIpt') value
2022-03-14 20:33:40,574 INFO [root] [base.py (base_find:base_find:22)]-find element('css selector', '#resultIpt')
